air_store_id,hpg_store_id
air_fc477473134e9ae5,hpg_3c41f028563beac3
air_375a5241615b5e22,hpg_a284bcfadc49db95
air_fea5dc9594450608,hpg_6507818140022452
air_5e70fe82f9e4fab6,hpg_0a8cb1f2f6e27889
air_c47aa7493b15f297,hpg_03795a62e1c5f1c3
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6
air_990a642a3deb2903,hpg_719d08c3b7225154
air_5c7489c9ec755e2d,hpg_0a587f3924c8093c
air_bb09595bab7d5cfb,hpg_aea428a1075052bf
air_a546cbf478a8b6e4,hpg_7f25667859876495
air_54ed43163b7596c4,hpg_583dddac1a035048
air_9241121af22ff1d6,hpg_49dbe1fd79450e55
air_5acc13d655a6e8b2,hpg_1f9643b5673938d9
air_831658500aa7c846,hpg_f39996d4f0ebcb64
air_622375b4815cf5cb,hpg_ab64d4038f396dc3
air_968d72c12eed09f0,hpg_4dabe28f13a5b993
air_fdc02ec4a3d21ea4,hpg_528734c946fae58b
air_789466e488705c93,hpg_4ca41b70c41bc844
air_2a485b92210c98b5,hpg_dd709beb78198f38
air_6b942d5ebbc759c2,hpg_3253426a007cf3eb
air_1d1e8860ae04f8e9,hpg_2fcae64da5287bf5
air_707d4b6328f2c2df,hpg_7acec6bb6ec9d98e
air_32c61b620a766138,hpg_d5ca709664abea20
air_082908692355165e,hpg_b8715d0ac52b1763
air_7514d90009613cd6,hpg_08def9f764fcca4c
air_cbe867adcf44e14f,hpg_0183ec352e38903c
air_1f1390a8be2272b3,hpg_306ff4d17f7a1efd
air_f690c42545146e0a,hpg_0dc016db530f5c33
air_96743eee94114261,hpg_a9d42bc9b56916f4
air_6c91a28278a16f64,hpg_945c2807cef88022
air_d00161e19f08290b,hpg_05fada27f04e4383
air_f96765e800907c77,hpg_265bd3fe806f8b6e
air_08cb3c4ee6cd6a22,hpg_dc639640420bde5f
air_32460819c7600037,hpg_ac318be70910278f
air_c6a164dd4060e960,hpg_8ce73856596a7794
air_09661c0f3259cc04,hpg_ef517ab154f66a8e
air_b8925441167c3152,hpg_0cc0abae3a8b52de
air_f8233ad00755c35c,hpg_098e4dd30e54fee6
air_6607fe3671242ce3,hpg_1004356dc8ab69ec
air_ccd19a5bc5573ae5,hpg_df22bf146d2c7e19
air_465bddfed3353b23,hpg_23c5945dc1a72454
