visit_date,visitors
2016-12-12,11132
2016-12-13,12773
2016-12-14,14590
2016-12-15,15142
2016-12-16,20680
2016-12-17,23982
2016-12-18,15836
2016-12-19,12551
2016-12-20,14669
2016-12-21,16823
2016-12-22,20526
2016-12-23,19306
2016-12-24,19958
2016-12-25,14552
2016-12-26,13656
2016-12-27,16182
2016-12-28,20069
2016-12-29,18941
2016-12-30,16499
2016-12-31,6616
2017-01-01,3396
2017-01-02,5631
2017-01-03,6574
2017-01-04,7922
2017-01-05,9666
2017-01-06,13887
2017-01-07,17101
2017-01-08,13260
2017-01-09,10566
2017-01-10,10327
2017-01-11,11313
2017-01-12,11362
2017-01-13,16374
2017-01-14,18618
2017-01-15,11840
2017-01-16,9807
2017-01-17,11412
2017-01-18,12676
2017-01-19,12727
2017-01-20,16400
2017-01-21,19985
2017-01-22,12854
2017-01-23,9615
2017-01-24,11536
2017-01-25,12977
2017-01-26,13364
2017-01-27,18230
2017-01-28,20939
2017-01-29,14157
2017-01-30,10231
2017-01-31,12101
2017-02-01,12172
2017-02-02,12416
2017-02-03,16202
2017-02-04,20313
2017-02-05,12446
2017-02-06,9689
2017-02-07,11374
2017-02-08,12658
2017-02-09,11780
2017-02-10,17207
2017-02-11,19635
2017-02-12,13527
2017-02-13,10347
2017-02-14,12330
2017-02-15,13832
2017-02-16,13834
2017-02-17,17992
2017-02-18,20598
2017-02-19,14674
2017-02-20,9757
2017-02-21,12240
2017-02-22,13881
2017-02-23,13713
2017-02-24,18233
2017-02-25,21623
2017-02-26,14928
2017-02-27,11071
2017-02-28,12990
2017-03-01,12808
2017-03-02,12578
2017-03-03,17534
2017-03-04,20613
2017-03-05,14692
2017-03-06,10515
2017-03-07,12399
2017-03-08,14636
2017-03-09,14118
2017-03-10,19116
2017-03-11,22040
2017-03-12,15574
2017-03-13,11733
2017-03-14,13683
2017-03-15,14073
2017-03-16,15032
2017-03-17,19512
2017-03-18,21321
2017-03-19,19271
2017-03-20,13296
2017-03-21,11987
2017-03-22,15101
2017-03-23,15879
2017-03-24,20720
2017-03-25,22836
2017-03-26,14459
2017-03-27,12230
2017-03-28,15308
2017-03-29,16629
2017-03-30,16672
2017-03-31,19122
2017-04-01,19900
2017-04-02,14794
2017-04-03,11772
2017-04-04,13094
2017-04-05,14130
2017-04-06,13571
2017-04-07,17906
2017-04-08,20203
2017-04-09,13650
2017-04-10,10474
2017-04-11,10957
2017-04-12,13687
2017-04-13,14379
2017-04-14,19574
2017-04-15,21741
2017-04-16,15710
2017-04-17,9739
2017-04-18,13489
2017-04-19,14607
2017-04-20,13990
2017-04-21,19624
2017-04-22,21245
